timestamp_sec,flight_state,cf1_act_x,cf1_act_y,cf1_act_z,cf1_targ_x,cf1_targ_y,cf1_targ_z,cf2_act_x,cf2_act_y,cf2_act_z,cf2_targ_x,cf2_targ_y,cf2_targ_z,cf3_act_x,cf3_act_y,cf3_act_z,cf3_targ_x,cf3_targ_y,cf3_targ_z,cf4_act_x,cf4_act_y,cf4_act_z,cf4_targ_x,cf4_targ_y,cf4_targ_z
1.11,TAKEOFF,0.3651597499847412,0.4405674934387207,0.012542005628347397,0.25,0.25,0.5,1.7297472953796387,0.3255859911441803,0.038816578686237335,1.6,0.1,0.5,1.6693603992462158,1.543871283531189,0.03490280359983444,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.13,TAKEOFF,0.3651597499847412,0.4405674934387207,0.012542005628347397,0.25,0.25,0.5,1.7297472953796387,0.3255859911441803,0.038816578686237335,1.6,0.1,0.5,1.6693603992462158,1.543871283531189,0.03490280359983444,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.15,TAKEOFF,0.3651597499847412,0.4405674934387207,0.012542005628347397,0.25,0.25,0.5,1.7297472953796387,0.3255859911441803,0.038816578686237335,1.6,0.1,0.5,1.6646757125854492,1.5422580242156982,0.04642142727971077,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.17,TAKEOFF,0.3651597499847412,0.4405674934387207,0.012542005628347397,0.25,0.25,0.5,1.7297472953796387,0.3255859911441803,0.038816578686237335,1.6,0.1,0.5,1.6646757125854492,1.5422580242156982,0.04642142727971077,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.19,TAKEOFF,0.3541392683982849,0.43919113278388977,0.01755852811038494,0.25,0.25,0.5,1.7297472953796387,0.3255859911441803,0.038816578686237335,1.6,0.1,0.5,1.6646757125854492,1.5422580242156982,0.04642142727971077,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.21,TAKEOFF,0.3541392683982849,0.43919113278388977,0.01755852811038494,0.25,0.25,0.5,1.7273308038711548,0.31951650977134705,0.044742874801158905,1.6,0.1,0.5,1.6646757125854492,1.5422580242156982,0.04642142727971077,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.23,TAKEOFF,0.3541392683982849,0.43919113278388977,0.01755852811038494,0.25,0.25,0.5,1.7273308038711548,0.31951650977134705,0.044742874801158905,1.6,0.1,0.5,1.6646757125854492,1.5422580242156982,0.04642142727971077,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.251,TAKEOFF,0.3541392683982849,0.43919113278388977,0.01755852811038494,0.25,0.25,0.5,1.7273308038711548,0.31951650977134705,0.044742874801158905,1.6,0.1,0.5,1.6620960235595703,1.5412163734436035,0.05756513401865959,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.27,TAKEOFF,0.3541392683982849,0.43919113278388977,0.01755852811038494,0.25,0.25,0.5,1.7273308038711548,0.31951650977134705,0.044742874801158905,1.6,0.1,0.5,1.6620960235595703,1.5412163734436035,0.05756513401865959,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
1.29,TAKEOFF,0.3484048545360565,0.4342142343521118,0.025044500827789307,0.25,0.25,0.5,1.7273308038711548,0.31951650977134705,0.044742874801158905,1.6,0.1,0.5,1.6620960235595703,1.5412163734436035,0.05756513401865959,1.6,1.6,0.5,0.0,0.0,0.0,0.25,1.6,0.5
